LHS,RHS,support,confidence,lift
"<{SSC2046_low score},{SCI1016_low score}> ", <{SCI2012_low score}>,0.010313531,0.462962963,2.653007618
"<{SSC1006_high score},{SCI1016_low score}> ", <{SCI2012_low score}>,0.011551155,0.4375,2.507092199
<{SCI1016_low score}> , <{SCI2012_low score}>,0.068894389,0.409313725,2.345570852
<{HUM1013_low score}> , <{SCI2012_low score}>,0.012376238,0.337078652,1.931628018
<{SSC1009_low score}> , <{SCI2012_low score}>,0.017326733,0.29787234,1.706956391
<{SSC1007_low score}> , <{SCI2012_low score}>,0.03630363,0.294314381,1.686567518
<{SCI2034_low score}> , <{SCI3046_low score}>,0.018976898,0.283950617,9.301301301
<{SSC2006_low score}> , <{SSC2004_low score}>,0.012376238,0.275229358,7.022694351
<{SSC2024_low score}> , <{SCI2012_low score}>,0.011963696,0.268518519,1.538744418
"<{SSC1007_low score},{SSC1006_high score}> ", <{SCI2012_low score}>,0.012376238,0.260869565,1.494912118
<{SSC3036_low score}> , <{SCI2012_low score}>,0.013613861,0.2578125,1.477393617
<{HUM2043_low score}> , <{SCI2012_low score}>,0.012376238,0.254237288,1.456905878
<{SSC2046_low score}> , <{SCI1016_low score}>,0.022277228,0.248847926,1.478449444
<{SSC2046_low score}> , <{SCI2012_low score}>,0.022277228,0.248847926,1.426022159
<{SSC1006_low score}> , <{SCI2012_low score}>,0.01650165,0.238095238,1.364403918
<{SSC1009_low score}> , <{SSC1025_low score}>,0.013613861,0.234042553,2.567054973
<{SSC1009_low score}> , <{SCI1016_low score}>,0.013613861,0.234042553,1.39048811
<{SSC2019_low score}> , <{SCI2012_low score}>,0.010313531,0.231481481,1.326503809
<{SSC1027_low score}> , <{SSC2038_low score}>,0.011138614,0.223140496,3.654679473
<{SSC1027_low score}> , <{SCI2012_low score}>,0.011138614,0.223140496,1.27870582
<{HUM2003_low score}> , <{SCI1016_low score}>,0.014026403,0.219354839,1.303225806
<{HUM2003_low score}> , <{SCI2012_low score}>,0.013613861,0.212903226,1.220041181
<{SSC1009_low score}> , <{SSC1007_low score}>,0.012376238,0.212765957,1.724898598
<{SSC1025_low score}> , <{SSC1006_low score}>,0.018976898,0.208144796,3.003232062
<{SSC1009_low score}> , <{SSC1006_low score}>,0.011963696,0.205673759,2.967578521
<{SCI1009_low score}> , <{SCI2034_low score}>,0.013613861,0.19760479,2.95675316
<{SSC3036_low score}> , <{SSC3012_low score}>,0.010313531,0.1953125,5.91796875
<{SSC3036_low score}> , <{SCI1016_low score}>,0.010313531,0.1953125,1.160386029
<{SSC1009_high score}> , <{SCI1016_low score}>,0.025165017,0.185410334,1.101555516
<{SSC1025_low score}> , <{SCI2012_low score}>,0.016089109,0.176470588,1.01126408
<{SSC1005_low score}> , <{SCI2034_low score}>,0.027640264,0.171794872,2.570560304
<{SSC1005_low score}> , <{SSC2006_low score}>,0.027227723,0.169230769,3.763443896
<{SSC1009_high score}> , <{SCI2012_low score}>,0.022689769,0.167173252,0.957985729
<{HUM2003_high score}> , <{SCI2012_low score}>,0.024752475,0.164835165,0.944587328
<{HUM1003_high score}> , <{SCI2012_low score}>,0.020627063,0.162337662,0.930275398
<{SSC1005_low score}> , <{SCI2012_low score}>,0.025990099,0.161538462,0.925695581
<{SSC1006_low score}> , <{SSC2024_low score}>,0.011138614,0.160714286,3.607142857
<{SSC1006_low score}> , <{SSC3032_low score}>,0.010726073,0.154761905,2.930803571
<{SSC1006_low score}> , <{SCI1016_low score}>,0.010726073,0.154761905,0.919467787
<{SCI2034_low score}> , <{SSC2006_low score}>,0.010313531,0.154320988,3.431872239
<{SSC2046_high score}> , <{SCI2012_low score}>,0.033828383,0.150458716,0.862203136
<{SSC2036_high score}> , <{SCI2012_low score}>,0.014026403,0.150442478,0.862110086
<{SCI1009_low score}> , <{SCI1016_low score}>,0.010313531,0.149700599,0.889397675
<{SSC1025_low score}> , <{SCI1016_low score}>,0.013613861,0.149321267,0.887143998
<{SSC1006_low score}> , <{SSC3036_low score}>,0.010313531,0.148809524,2.818080357
<{SSC1005_low score}> , <{SSC2004_low score}>,0.023927393,0.148717949,3.79465587
<{SSC2036_high score}> , <{SSC2038_low score}>,0.013613861,0.146017699,2.391533126
<{SSC2019_high score}> , <{SCI2012_low score}>,0.021039604,0.142857143,0.818642351
<{SSC1005_low score}> , <{SCI1016_low score}>,0.022689769,0.141025641,0.83785822
<{SSC2018_high score}> , <{SCI2012_low score}>,0.020627063,0.14084507,0.807112177
<{SSC1007_low score}> , <{SSC1025_low score}>,0.017326733,0.140468227,1.540701282
<{SSC1007_low score}> , <{SCI1016_low score}>,0.017326733,0.140468227,0.834546528
<{SSC1025_low score}> , <{SSC3036_low score}>,0.012788779,0.140271493,2.656391403
<{SSC1009_high score}> , <{SSC1007_low score}>,0.018976898,0.139817629,1.133504793
<{SSC2046_low score}> , <{SSC1007_low score}>,0.012376238,0.138248848,1.120786647
<{HUM1007_high score}> , <{SCI2012_low score}>,0.01320132,0.137339056,0.787020972
<{SSC1007_low score}> , <{SSC2024_low score}>,0.016914191,0.137123746,3.077666295
"<{SSC1025_high score},{SSC1006_high score}> ", <{SCI2012_low score}>,0.012376238,0.136986301,0.784999514
<{SSC1007_high score}> , <{SCI2012_low score}>,0.028877888,0.136986301,0.784999514
<{SSC1006_high score}> , <{SCI2012_low score}>,0.043316832,0.1342711,0.769440061
<{SSC2042_high score}> , <{SCI2012_low score}>,0.012376238,0.13215859,0.757334333
<{SCI1016_high score}> , <{SCI2012_low score}>,0.024752475,0.128479657,0.736252221
<{SSC1005_low score}> , <{SSC1007_low score}>,0.020214521,0.125641026,1.018574736
<{SSC2046_low score}> , <{SSC1025_low score}>,0.011138614,0.124423963,1.364722564
<{SSC1007_low score}> , <{SSC2027_low score}>,0.015264026,0.123745819,3.408634843
<{SSC1007_low score}> , <{SSC3032_low score}>,0.015264026,0.123745819,2.343436455
<{SSC1007_low score}> , <{SSC1006_low score}>,0.015264026,0.123745819,1.785475394
<{HUM1003_high score}> , <{SCI1016_low score}>,0.015676568,0.123376623,0.733002292
<{SSC1025_high score}> , <{SCI2012_low score}>,0.017326733,0.12244898,0.701693443
<{SSC1025_low score}> , <{SSC2024_low score}>,0.011138614,0.122171946,2.742081448
<{HUM2003_high score}> , <{SCI1016_low score}>,0.018151815,0.120879121,0.718164189
<{SSC1005_low score}> , <{SSC2019_low score}>,0.019389439,0.120512821,2.704843305
<{SSC1005_low score}> , <{HUM1003_low score}>,0.018976898,0.117948718,1.931808732
<{SSC1005_high score}> , <{SCI2034_low score}>,0.016914191,0.115819209,1.732998535
"<{SSC1007_high score},{SSC1006_high score}> ", <{SSC2024_low score}>,0.012376238,0.113207547,2.540880503
<{SSC2061_high score}> , <{SSC3018_low score}>,0.011963696,0.111111111,5.281045752
<{SSC2036_high score}> , <{SSC2022_low score}>,0.010313531,0.110619469,3.886110042
<{HUM2046_high score}> , <{SCI1016_low score}>,0.010726073,0.106557377,0.633076181
<{SSC2046_high score}> , <{SCI1016_low score}>,0.023927393,0.106422018,0.632271991
<{SSC1007_high score}> , <{SSC2024_low score}>,0.021864686,0.1037182,2.327897369
<{SCI1016_low score}> , <{SSC1025_low score}>,0.016914191,0.100490196,1.102209209
<{SSC1009_high score}> , <{SSC2024_low score}>,0.013613861,0.100303951,2.251266464
<{SSC1005_low score}> , <{SSC2050_low score}>,0.016089109,0.1,4.407272727
